OBJECTID,STATE_NAME,ZONE_CODE,COUNT,AREA,Population,Year,Scenario,Pop_Type
1,Alabama,1,185181,12.859791665637880,1798597.004906526300000,2010,ssp1,rural
2,Arizona,2,415878,28.880416664356225,745595.122727599580000,2010,ssp1,rural
3,Arkansas,3,195457,13.573402776691902,1227600.429593072300000,2010,ssp1,rural
4,California,4,595963,41.386319441133530,1967463.010643156700000,2010,ssp1,rural
5,Colorado,5,403652,28.031388886646372,715358.350387844610000,2010,ssp1,rural
6,Connecticut,6,19993,1.388402777666705,207198.794007709600000,2010,ssp1,rural
7,Delaware,7,7681,0.533402777735105,111718.895820136850000,2010,ssp1,rural
8,DC,8,239,0.016597222220894,0.000000000000000,2010,ssp1,rural
9,Florida,9,191589,13.304791665602281,1489634.098344364900000,2010,ssp1,rural
10,Georgia,10,210680,14.630555554385108,2172018.299180405200000,2010,ssp1,rural
11,Hawaii,11,20752,1.441111110995822,140662.632776712740000,2010,ssp1,rural
12,Idaho,12,350686,24.353194442496182,436937.066128447650000,2010,ssp1,rural
13,Illinois,13,221664,15.393333332101863,1631376.689056612800000,2010,ssp1,rural
14,Indiana,14,142134,9.870416665877031,1675269.886720255000000,2010,ssp1,rural
15,Iowa,15,228140,15.843055554288107,1175540.260420795500000,2010,ssp1,rural
16,Kansas,16,316313,21.966180553798257,869078.277097527170000,2010,ssp1,rural
17,Kentucky,17,153424,10.654444443592086,1731876.315313896200000,2010,ssp1,rural
18,Louisiana,18,160534,11.148194443552587,1193710.628120320400000,2010,ssp1,rural
19,Maine,19,138106,9.590694443677187,636045.324522656740000,2010,ssp1,rural
20,Maryland,20,38466,2.671249999786300,475563.105785906610000,2010,ssp1,rural
21,Massachusetts,21,32906,2.285138888706077,273398.791108559290000,2010,ssp1,rural
22,Michigan,22,243839,16.933263887534224,2249624.664889252300000,2010,ssp1,rural
23,Minnesota,23,360809,25.056180553551055,1342418.342252207700000,2010,ssp1,rural
24,Mississippi,24,170685,11.853124999051747,1385265.394429443400000,2010,ssp1,rural
25,Missouri,25,267867,18.601874998511846,1638093.474653931800000,2010,ssp1,rural
26,Montana,26,647405,44.958680551958849,444325.938824172420000,2010,ssp1,rural
27,Nebraska,27,311244,21.614166664937528,558521.469729663110000,2010,ssp1,rural
28,Nevada,28,429680,29.838888886501771,277954.612737181190000,2010,ssp1,rural
29,New_Hampshire,29,38438,2.669305555342010,415044.439678121820000,2010,ssp1,rural
30,New_Jersey,30,29776,2.067777777612355,266236.966096951390000,2010,ssp1,rural
31,New_Mexico,31,444872,30.893888886417368,573323.501903013790000,2010,ssp1,rural
32,New_York,32,198329,13.772847221120390,2095629.439015410600000,2010,ssp1,rural
33,North_Carolina,33,182524,12.675277776763751,2585373.582225683100000,2010,ssp1,rural
34,North_Dakota,34,312792,21.721666664928929,280319.493813141020000,2010,ssp1,rural
35,Ohio,35,162922,11.314027776872653,2209314.949666765500000,2010,ssp1,rural
36,Oklahoma,36,258456,17.948333331897462,1251801.255344833500000,2010,ssp1,rural
37,Oregon,37,404343,28.079374997753643,758532.737862062410000,2010,ssp1,rural
38,Pennsylvania,38,180295,12.520486110109468,2284063.355830282000000,2010,ssp1,rural
39,Puerto_Rico,39,10979,0.762430555494561,42359.682632707059000,2010,ssp1,rural
40,Rhode_Island,40,4368,0.303333333309067,55252.708646943443000,2010,ssp1,rural
41,South_Carolina,41,111907,7.771319443822737,1282421.955761410300000,2010,ssp1,rural
42,South_Dakota,42,323617,22.473402775979899,399376.397158385660000,2010,ssp1,rural
43,Tennessee,43,156528,10.869999999130398,1807498.674571748400000,2010,ssp1,rural
44,Texas,44,935887,64.992152772578393,3620474.585792321200000,2010,ssp1,rural
45,Utah,45,323156,22.441388887093574,352182.788864516890000,2010,ssp1,rural
46,Vermont,46,39563,2.747430555335761,386419.534258370870000,2010,ssp1,rural
47,Virginia,47,152101,10.562569443599436,1741075.110157028500000,2010,ssp1,rural
48,Washington,48,299504,20.798888887224972,903717.734069052500000,2010,ssp1,rural
49,West_Virginia,49,93591,6.499374999480049,959092.375218557080000,2010,ssp1,rural
50,Wisconsin,50,235836,16.377499998689796,1656455.084197087400000,2010,ssp1,rural
51,Wyoming,51,402060,27.920833331099658,189214.550450462910000,2010,ssp1,rural
52,Alaska,52,3955614,274.695416644690970,151049.176462165810000,2010,ssp1,rural
53,Alabama,1,185181,12.859791665637880,1672312.786198238800000,2020,ssp1,rural
54,Arizona,2,415878,28.880416664356225,734738.492726852540000,2020,ssp1,rural
55,Arkansas,3,195457,13.573402776691902,1190766.055426836900000,2020,ssp1,rural
56,California,4,595963,41.386319441133530,1773747.770799079400000,2020,ssp1,rural
57,Colorado,5,403652,28.031388886646372,711397.664871217680000,2020,ssp1,rural
58,Connecticut,6,19993,1.388402777666705,110310.048345211190000,2020,ssp1,rural
59,Delaware,7,7681,0.533402777735105,67214.894490867489000,2020,ssp1,rural
60,DC,8,239,0.016597222220894,0.000000000000000,2020,ssp1,rural
61,Florida,9,191589,13.304791665602281,1336001.192537451400000,2020,ssp1,rural
62,Georgia,10,210680,14.630555554385108,1920963.430599729100000,2020,ssp1,rural
63,Hawaii,11,20752,1.441111110995822,127359.762805809750000,2020,ssp1,rural
64,Idaho,12,350686,24.353194442496182,434633.285134693720000,2020,ssp1,rural
65,Illinois,13,221664,15.393333332101863,1579268.152803167900000,2020,ssp1,rural
66,Indiana,14,142134,9.870416665877031,1567772.258836885000000,2020,ssp1,rural
67,Iowa,15,228140,15.843055554288107,1172889.367480017700000,2020,ssp1,rural
68,Kansas,16,316313,21.966180553798257,856288.490779515470000,2020,ssp1,rural
69,Kentucky,17,153424,10.654444443592086,1692269.500834786300000,2020,ssp1,rural
70,Louisiana,18,160534,11.148194443552587,1140763.010065509200000,2020,ssp1,rural
71,Maine,19,138106,9.590694443677187,602531.642140041690000,2020,ssp1,rural
72,Maryland,20,38466,2.671249999786300,323616.083728128990000,2020,ssp1,rural
73,Massachusetts,21,32906,2.285138888706077,164081.259251214880000,2020,ssp1,rural
74,Michigan,22,243839,16.933263887534224,1971413.807538918500000,2020,ssp1,rural
75,Minnesota,23,360809,25.056180553551055,1301478.668028151600000,2020,ssp1,rural
76,Mississippi,24,170685,11.853124999051747,1374907.818752038100000,2020,ssp1,rural
77,Missouri,25,267867,18.601874998511846,1617378.782937742300000,2020,ssp1,rural
78,Montana,26,647405,44.958680551958849,447947.136631025180000,2020,ssp1,rural
79,Nebraska,27,311244,21.614166664937528,555820.999928779780000,2020,ssp1,rural
80,Nevada,28,429680,29.838888886501771,274599.272328785620000,2020,ssp1,rural
81,New_Hampshire,29,38438,2.669305555342010,345865.058708890340000,2020,ssp1,rural
82,New_Jersey,30,29776,2.067777777612355,133648.639989586310000,2020,ssp1,rural
83,New_Mexico,31,444872,30.893888886417368,557889.134010710170000,2020,ssp1,rural
84,New_York,32,198329,13.772847221120390,1846041.888456012100000,2020,ssp1,rural
85,North_Carolina,33,182524,12.675277776763751,2065857.032802758300000,2020,ssp1,rural
86,North_Dakota,34,312792,21.721666664928929,271380.002598568220000,2020,ssp1,rural
87,Ohio,35,162922,11.314027776872653,1868614.080207060300000,2020,ssp1,rural
88,Oklahoma,36,258456,17.948333331897462,1224759.956167340700000,2020,ssp1,rural
89,Oregon,37,404343,28.079374997753643,740568.170949245800000,2020,ssp1,rural
90,Pennsylvania,38,180295,12.520486110109468,1799683.413045650100000,2020,ssp1,rural
91,Puerto_Rico,39,10979,0.762430555494561,6712.060487559065200,2020,ssp1,rural
92,Rhode_Island,40,4368,0.303333333309067,26427.483640924329000,2020,ssp1,rural
93,South_Carolina,41,111907,7.771319443822737,1134621.423678150400000,2020,ssp1,rural
94,South_Dakota,42,323617,22.473402775979899,401435.383327550600000,2020,ssp1,rural
95,Tennessee,43,156528,10.869999999130398,1644252.755914629400000,2020,ssp1,rural
96,Texas,44,935887,64.992152772578393,3410380.208770732900000,2020,ssp1,rural
97,Utah,45,323156,22.441388887093574,336398.255701386250000,2020,ssp1,rural
98,Vermont,46,39563,2.747430555335761,368193.113872563640000,2020,ssp1,rural
99,Virginia,47,152101,10.562569443599436,1629223.319560008400000,2020,ssp1,rural
100,Washington,48,299504,20.798888887224972,812938.000002521210000,2020,ssp1,rural
101,West_Virginia,49,93591,6.499374999480049,897354.823585371600000,2020,ssp1,rural
102,Wisconsin,50,235836,16.377499998689796,1559151.328779852500000,2020,ssp1,rural
103,Wyoming,51,402060,27.920833331099658,188656.327452779190000,2020,ssp1,rural
104,Alaska,52,3955614,274.695416644690970,148221.818678973010000,2020,ssp1,rural
105,Alabama,1,185181,12.859791665637880,1476042.000706295500000,2030,ssp1,rural
106,Arizona,2,415878,28.880416664356225,712657.047376296720000,2030,ssp1,rural
107,Arkansas,3,195457,13.573402776691902,1134938.393438738100000,2030,ssp1,rural
108,California,4,595963,41.386319441133530,1598926.426128840800000,2030,ssp1,rural
109,Colorado,5,403652,28.031388886646372,688784.408239735760000,2030,ssp1,rural
110,Connecticut,6,19993,1.388402777666705,61196.011737257242000,2030,ssp1,rural
111,Delaware,7,7681,0.533402777735105,45409.853690421813000,2030,ssp1,rural
112,DC,8,239,0.016597222220894,0.000000000000000,2030,ssp1,rural
113,Florida,9,191589,13.304791665602281,1147372.929238209700000,2030,ssp1,rural
114,Georgia,10,210680,14.630555554385108,1663839.583659055600000,2030,ssp1,rural
115,Hawaii,11,20752,1.441111110995822,113072.557593812730000,2030,ssp1,rural
116,Idaho,12,350686,24.353194442496182,435417.524779209870000,2030,ssp1,rural
117,Illinois,13,221664,15.393333332101863,1488533.627372847200000,2030,ssp1,rural
118,Indiana,14,142134,9.870416665877031,1429120.503608651200000,2030,ssp1,rural
119,Iowa,15,228140,15.843055554288107,1166170.406348078700000,2030,ssp1,rural
120,Kansas,16,316313,21.966180553798257,826017.942048937660000,2030,ssp1,rural
121,Kentucky,17,153424,10.654444443592086,1537653.930946821800000,2030,ssp1,rural
122,Louisiana,18,160534,11.148194443552587,1045934.353009824500000,2030,ssp1,rural
123,Maine,19,138106,9.590694443677187,540250.638244721570000,2030,ssp1,rural
124,Maryland,20,38466,2.671249999786300,247914.878081460250000,2030,ssp1,rural
